model,delta,loss_mse_vs_ref,n_shifted_gates,value_Mz,ref_Mz,value_XX_bond_avg,ref_XX_bond_avg,value_YY_bond_avg,ref_YY_bond_avg,value_ZZ_bond_avg,ref_ZZ_bond_avg,value_E_bond,ref_E_bond
ising,-2.898143515763133,0.00019286823529411756,20.0,0.8924,0.8996400000000001,-4.107622974568852e-20,-6.219055028315628e-20,-4.1076229745688496e-20,-5.28725821232346e-20,0.7735000000000001,0.791,0.7735000000000001,0.791
heisenberg,-2.7422916657515257,0.0005466700657854544,60.0,0.692352816645323,0.7169876017330581,-0.004237992009828717,-0.012074758238173989,-0.011604364761698755,-0.006957070082509616,0.48797366265296366,0.5109487851385262,0.4721313058814362,0.49191695681784253
ising,-2.7422916657515257,0.00010835058823529361,20.0,0.9031999999999998,0.8996400000000001,2.5318385517966074e-35,-6.219055028315628e-20,-5.337629385837482e-35,-5.28725821232346e-20,0.8054999999999999,0.791,0.8054999999999999,0.791
heisenberg,-2.594818336313024,0.0005778836708866559,60.0,0.6889766995287847,0.7169876017330581,-0.008725937731820359,-0.012074758238173989,-0.01621381397914216,-0.006957070082509616,0.4876540129462625,0.5109487851385262,0.46271426123529996,0.49191695681784253
ising,-2.594818336313024,0.00013385647058823511,20.0,0.8952,0.8996400000000001,3.0790045103061416e-35,-6.219055028315628e-20,-3.0790045103061416e-35,-5.28725821232346e-20,0.7810000000000001,0.791,0.7810000000000001,0.791
heisenberg,-2.4552729523537695,0.00167449698629617,60.0,0.6637303915936625,0.7169876017330581,-0.002895503304637842,-0.012074758238173989,-0.015291383228965474,-0.006957070082509616,0.46125462954379515,0.5109487851385262,0.4430677430101918,0.49191695681784253
ising,-2.4552729523537695,8.049176470588227e-05,20.0,0.9088,0.8996400000000001,-4.366922889501168e-35,-6.219055028315628e-20,4.366922889501168e-35,-5.28725821232346e-20,0.804,0.791,0.804,0.791
heisenberg,-2.3232291610226077,0.001020572738112128,60.0,0.6761260902249742,0.7169876017330581,-0.00439891077745992,-0.012074758238173989,-0.01818873024544184,-0.006957070082509616,0.4699751813931397,0.5109487851385262,0.4473875403702379,0.49191695681784253
ising,-2.3232291610226077,0.00012623294117647095,20.0,0.8896000000000001,0.8996400000000001,-3.062364088427853e-21,-6.219055028315628e-20,-3.0623640884276966e-21,-5.28725821232346e-20,0.7725,0.791,0.7725,0.791
heisenberg,-2.1982835290757192,0.0019575073444588285,60.0,0.6576937037019436,0.7169876017330581,0.0030754452328618474,-0.012074758238173989,-0.012443408655143574,-0.006957070082509616,0.45548817503401673,0.5109487851385262,0.446120211611735,0.49191695681784253
ising,-2.1982835290757192,0.0002171505882352941,20.0,0.9084000000000001,0.8996400000000001,3.5806742327566165e-35,-6.219055028315628e-20,-3.5806742327566165e-35,-5.28725821232346e-20,0.8070000000000003,0.791,0.8070000000000003,0.791
heisenberg,-2.080054310267486,0.0014595641365859593,60.0,0.666414991638473,0.7169876017330581,-0.00025528913638171074,-0.012074758238173989,-0.0045670306931802716,-0.006957070082509616,0.46440050771655395,0.5109487851385262,0.45957818788699195,0.49191695681784253
ising,-2.080054310267486,0.0001979035294117658,20.0,0.8960000000000001,0.8996400000000001,4.091974673160794e-36,-6.219055028315628e-20,2.467581237088345e-37,-5.28725821232346e-20,0.7885,0.791,0.7885,0.791
heisenberg,-1.9681802790016327,0.0016630376741780988,60.0,0.6588004309301531,0.7169876017330581,-6.480406267749952e-07,-0.012074758238173989,-2.4619586279804286e-06,-0.006957070082509616,0.47350023390069307,0.5109487851385262,0.47349712390143833,0.49191695681784253
ising,-1.9681802790016327,8.802117647058835e-05,20.0,0.9024000000000001,0.8996400000000001,4.0606642523956367e-35,-6.219055028315628e-20,-4.0606642523956367e-35,-5.28725821232346e-20,0.7985,0.791,0.7985,0.791
heisenberg,-1.8623196266790687,0.002966702351229644,60.0,0.6487829153788791,0.7169876017330581,-0.0004748273400473048,-0.012074758238173989,-0.0036196405083886505,-0.006957070082509616,0.45030238261984407,0.5109487851385262,0.4462079147714081,0.49191695681784253
ising,-1.8623196266790687,0.00010933882352941063,20.0,0.9020000000000001,0.8996400000000001,4.7581898623679644e-35,-6.219055028315628e-20,-4.7581898623679644e-35,-5.28725821232346e-20,0.7895000000000001,0.791,0.7895000000000001,0.791
heisenberg,-1.7621489173704834,0.0018535666634593533,60.0,0.6603268139640722,0.7169876017330581,-0.002186346846092097,-0.012074758238173989,-0.013221017000005615,-0.006957070082509616,0.45948966689156845,0.5109487851385262,0.44408230304547075,0.49191695681784253
ising,-1.7621489173704834,0.00022119764705882359,20.0,0.8992000000000001,0.8996400000000001,-7.342852750939774e-36,-6.219055028315628e-20,-6.84140874407398e-35,-5.28725821232346e-20,0.7995,0.791,0.7995,0.791
