mode,model,delta,loss_mse_vs_ref,n_shifted_gates
xx,heisenberg,-0.01399345397951167,0.00030445040115985485,20.0
xx,ising,-0.01399345397951167,0.00047633411764705933,0.0
xx,heisenberg,-0.01114380040432747,0.0002981916007638787,20.0
xx,ising,-0.01114380040432747,5.2992941176470456e-05,0.0
xx,heisenberg,-0.008328194469704743,0.00017552233245958602,20.0
xx,ising,-0.008328194469704743,0.00018372235294117662,0.0
xx,heisenberg,-0.005538033658069007,5.272958626463677e-05,20.0
xx,ising,-0.005538033658069007,0.00020216941176470535,0.0
xx,heisenberg,-0.0027647931943008217,0.00011574588847187674,20.0
xx,ising,-0.0027647931943008217,0.00015901647058823504,0.0
xx,heisenberg,0.0,2.3626100834097508e-05,20.0
xx,ising,0.0,0.00020616941176470626,0.0
xx,heisenberg,0.0027647931943008217,0.00014777406818144143,20.0
xx,ising,0.0027647931943008217,5.6475294117647226e-05,0.0
xx,heisenberg,0.005538033658069052,0.00019777800027270662,20.0
xx,ising,0.005538033658069052,4.4757647058823696e-05,0.0
xx,heisenberg,0.00832819446970479,0.00033214143582547124,20.0
xx,ising,0.00832819446970479,0.0005071576470588241,0.0
xx,heisenberg,0.011143800404327516,0.00013589566969336527,20.0
xx,ising,0.011143800404327516,9.054588235294057e-05,0.0
xx,heisenberg,0.013993453979511718,0.00018859108707884083,20.0
xx,ising,0.013993453979511718,8.419294117647027e-05,0.0
xx,heisenberg,0.016885861738548936,0.0002427029956444689,20.0
xx,ising,0.016885861738548936,4.7251764705882505e-05,0.0
xx,heisenberg,0.019829860851539437,0.0001208233549324529,20.0
xx,ising,0.019829860851539437,0.00016588705882352917,0.0
xx,heisenberg,0.022834446115588027,0.0004830108853027081,20.0
xx,ising,0.022834446115588027,4.1228235294117705e-05,0.0
xx,heisenberg,0.025908797436597037,0.00023863295235695888,20.0
xx,ising,0.025908797436597037,0.00039031058823529397,0.0
xx,heisenberg,0.029062307876622468,0.00033198998540423275,20.0
xx,ising,0.029062307876622468,0.00016047529411764748,0.0
xx,heisenberg,0.03230461235248561,0.00025258626408739075,20.0
xx,ising,0.03230461235248561,0.00012499294117647073,0.0
xx,heisenberg,0.03564561707332336,0.00020235374798831783,20.0
xx,ising,0.03564561707332336,5.0498823529411985e-05,0.0
xx,heisenberg,0.03909552980701758,0.0005177998069785566,20.0
xx,ising,0.03909552980701758,0.0001080517647058822,0.0
xx,heisenberg,0.04266489106797659,0.00082346041432072,20.0
xx,ising,0.04266489106797659,0.00010367529411764708,0.0
xx,heisenberg,0.046364606321556735,0.00033560144505437924,20.0
xx,ising,0.046364606321556735,0.0002451341176470591,0.0
xx,heisenberg,0.05020597930351803,0.00045605625952588406,20.0
xx,ising,0.05020597930351803,0.00021252235294117686,0.0
xx,heisenberg,0.05420074655631531,0.0004099648305634231,20.0
xx,ising,0.05420074655631531,0.00017280470588235323,0.0
xx,heisenberg,0.058361113287742565,0.0009260340054229874,20.0
xx,ising,0.058361113287742565,7.93458823529413e-05,0.0
xx,heisenberg,0.06269979066149045,0.0010291935972938967,20.0
xx,ising,0.06269979066149045,0.00018395764705882335,0.0
xx,heisenberg,0.0672300346335501,0.0007608129550583661,20.0
xx,ising,0.0672300346335501,9.779294117647083e-05,0.0
xx,heisenberg,0.07196568645312015,0.0011504679563272423,20.0
xx,ising,0.07196568645312015,0.0001879105882352939,0.0
xx,heisenberg,0.0769212149517596,0.001028405877358153,20.0
xx,ising,0.0769212149517596,0.00010028705882352942,0.0
xx,heisenberg,0.08211176074999216,0.0015762730849929816,20.0
xx,ising,0.08211176074999216,0.0001216047058823531,0.0
xx,heisenberg,0.08755318251642662,0.001708071437950322,20.0
xx,ising,0.08755318251642662,3.4028235294117706e-05,0.0
xx,heisenberg,0.09326210542072925,0.001974159388261361,20.0
xx,ising,0.09326210542072925,0.0004324282352941171,0.0
xx,heisenberg,0.09925597192848501,0.0032548896613065247,20.0
xx,ising,0.09925597192848501,6.019294117647073e-05,0.0
xx,heisenberg,0.10555309509314288,0.0026610436755548487,20.0
xx,ising,0.10555309509314288,0.0001552047058823533,0.0
xx,heisenberg,0.11217271450786703,0.003260492590496017,20.0
xx,ising,0.11217271450786703,0.00012838117647058863,0.0
xx,heisenberg,0.11913505508824361,0.00472614931092659,20.0
xx,ising,0.11913505508824361,0.00026645176470588224,0.0
xx,heisenberg,0.12646138886544203,0.005712122640384346,20.0
xx,ising,0.12646138886544203,0.0007649458823529413,0.0
xx,heisenberg,0.1341740999786275,0.00823997383934501,20.0
xx,ising,0.1341740999786275,2.2592941176470584e-05,0.0
xx,heisenberg,0.1422967530651956,0.00985823047949023,20.0
xx,ising,0.1422967530651956,3.271058823529424e-05,0.0
xx,heisenberg,0.15085416525778153,0.012256631570746928,20.0
xx,ising,0.15085416525778153,7.689882352941183e-05,0.0
xx,heisenberg,0.1598724820080178,0.013678390102141221,20.0
xx,ising,0.1598724820080178,0.00011619294117647079,0.0
xx,heisenberg,0.16937925696870137,0.015114559175752424,20.0
xx,ising,0.16937925696870137,0.00013148705882352972,0.0
xx,heisenberg,0.17940353617843813,0.019004314268646155,20.0
xx,ising,0.17940353617843813,8.918117647058837e-05,0.0
xx,heisenberg,0.18997594680597105,0.02298775355490143,20.0
xx,ising,0.18997594680597105,3.6616470588235375e-05,0.0
xx,heisenberg,0.20112879072533352,0.03232972350784373,20.0
xx,ising,0.20112879072533352,0.00035214588235294136,0.0
xx,heisenberg,0.2128961432077281,0.038248848059823794,20.0
xx,ising,0.2128961432077281,0.00021374588235294125,0.0
xx,heisenberg,0.22531395703166346,0.0424105297943264,20.0
xx,ising,0.22531395703166346,0.0001053223529411763,0.0
xx,heisenberg,0.2384201723294368,0.05515318370672079,20.0
xx,ising,0.2384201723294368,0.00014842823529411818,0.0
xx,heisenberg,0.25225483250557745,0.06476199466059916,20.0
xx,ising,0.25225483250557745,0.00026334588235294197,0.0
xx,heisenberg,0.26686020658141335,0.07783259075598857,20.0
xx,ising,0.26686020658141335,8.598117647058817e-05,0.0
xx,heisenberg,0.2822809183395642,0.09383371425359718,20.0
xx,ising,0.2822809183395642,0.00020042823529411777,0.0
xx,heisenberg,0.298564082662933,0.1092094058255721,20.0
xx,ising,0.298564082662933,9.256941176470617e-05,0.0
