mode,delta,loss_mse
xx,0.6156995793524993,0.5412749687098767
xx,0.6507978703820303,0.5034980949043143
xx,0.687884543396611,0.446347685842435
xx,0.7270729092656556,0.3883050264869609
xx,0.7684827001583452,0.3273694558389248
xx,0.8122404353611758,0.2661760638432889
xx,0.8584798078321985,0.23722024421786145
xx,0.9073420926729565,0.1911315253291226
xx,0.9589765787661355,0.18338489001927755
xx,1.0135410248977268,0.19110386038364188
xx,1.0712021417572508,0.21769976096322033
xx,1.1321361012887499,0.28509172495022583
xx,1.1965290749487107,0.35783281218321616
xx,1.2645778025155154,0.46057216106895305
xx,1.336490193188254,0.5637160515094993
xx,1.4124859608114548,0.6208417568862284
xx,1.4927972951665573,0.6393309351656171
xx,1.577669571381064,0.6398397104964263
xx,1.667362099622907,0.6152794082877684
xx,1.7621489173704834,0.5921550229772908
xx,1.8623196266790718,0.5475578898429702
xx,1.9681802790016327,0.45749266757833124
xx,2.080054310267486,0.3017787209937711
xx,2.198283529075721,0.26671707980206544
xx,2.3232291610226077,0.48374225833031576
xx,2.4552729523537717,0.6722906314742307
xx,2.594818336313024,0.7694396007021935
xx,2.7422916657515284,0.7836478826181683
xx,2.898143515763133,0.7023839610283185
xx,3.062850060325979,0.6336811649104652
xx,3.2369145271562694,0.5518330812771256
xx,3.420868735219366,0.3644150998036645
xx,3.6152747195956465,0.325475422829262
xx,3.820726448665623,0.6204876299241039
xx,4.037851638860895,0.6837146073376625
xx,4.267313672525386,0.5990454168058795
xx,4.509813624746718,0.4707182631585328
xx,4.766092405350053,0.3271767783402638
xx,5.036933022599099,0.6431254664976986
xx,5.32316297552029,0.3833947413060105
xx,5.625656782159669,0.5795403378459058
xx,5.945338651496844,0.423683061327685
xx,6.283185307179589,0.0743951781460898
yy,-6.283185307179589,0.08983680172327341
yy,-5.945338651496838,0.4037263603626904
yy,-5.625656782159669,0.4826235449919623
yy,-5.323162975520285,0.1871947367648438
yy,-5.03693302259909,0.44740175961562867
yy,-4.766092405350053,0.6366429010084635
yy,-4.509813624746714,0.5820377370105181
yy,-4.267313672525386,0.3910404254322493
yy,-4.037851638860891,0.31358161341174756
yy,-3.820726448665623,0.6804400553677984
yy,-3.615274719595643,0.7907448006178189
yy,-3.420868735219366,0.7301783315202885
yy,-3.2369145271562667,0.6312565970050565
yy,-3.0628500603259736,0.5732149903489144
yy,-2.898143515763133,0.39266931331742916
yy,-2.7422916657515257,0.29270589765378147
yy,-2.594818336313024,0.41241229182202493
yy,-2.4552729523537695,0.6426113324700498
yy,-2.3232291610226077,0.7223787784053849
yy,-2.1982835290757192,0.6656308410470126
yy,-2.080054310267486,0.628774954953237
yy,-1.9681802790016327,0.5975293407711171
yy,-1.8623196266790687,0.546231619179748
yy,-1.7621489173704834,0.43040007132285524
yy,-1.6673620996229055,0.3446214391127478
yy,-1.577669571381064,0.30674335356611726
yy,-1.492797295166556,0.32055483643611515
yy,-1.4124859608114548,0.41551024216508453
yy,-1.336490193188253,0.5310327742012635
yy,-1.2645778025155159,0.6371922407378763
yy,-1.1965290749487103,0.6532032187264603
yy,-1.132136101288749,0.6092437331228885
yy,-1.0712021417572508,0.5207194147814964
yy,-1.013541024897726,0.44482339266702303
yy,-0.9589765787661355,0.3828338265105766
yy,-0.9073420926729556,0.3523016589057415
yy,-0.8584798078321985,0.34304965629749096
yy,-0.8122404353611755,0.35249266083707076
yy,-0.7684827001583442,0.4177018562400684
yy,-0.7270729092656553,0.4896296767981202
yy,-0.68788454339661,0.5446606897093109
yy,-0.6507978703820303,0.589603968604569
yy,-0.6156995793524987,0.616307596426114
yy,-0.5824824345397914,0.6341566895400824
yy,-0.5510449476395575,0.6492305487470277
yy,-0.5212910677342194,0.642821884909902
yy,-0.49312988782871514,0.621854520074163
yy,-0.4664753671024611,0.6090250895085393
yy,-0.4412460680289316,0.5804661911068745
yy,-0.41736490755967726,0.5428405489557989
yy,-0.3947589216125771,0.513899889220262
yy,-0.37335904214476,0.47840127785895253
yy,-0.35309988612909526,0.4442169278253493
yy,-0.3339195557895036,0.4104816815058744
yy,-0.3157594494847533,0.3902225527365527
yy,-0.2985640826629329,0.3576646076397134
yy,-0.2822809183395641,0.33546833061705456
yy,-0.26686020658141324,0.3044147515543965
yy,-0.25225483250557745,0.28271995191653676
yy,-0.2384201723294368,0.26204588704096093
yy,-0.22531395703166326,0.24068863423897088
yy,-0.21289614320772793,0.22705083914951504
yy,-0.2011287907253334,0.21175677598986614
yy,-0.18997594680597096,0.19751044425561057
yy,-0.17940353617843807,0.1832914343864853
yy,-0.1693792569687013,0.1690941257806891
yy,-0.15987248200801774,0.16537590296824212
yy,-0.15085416525778153,0.1463329717295356
yy,-0.14229675306519543,0.13927555606085915
yy,-0.13417409997862736,0.13134805260458407
yy,-0.1264613888654419,0.12249865466016774
yy,-0.11913505508824354,0.1261075130001706
yy,-0.11217271450786699,0.10967324172142483
yy,-0.10555309509314288,0.11432482572304259
yy,-0.09925597192848501,0.11380371096183922
yy,-0.09326210542072925,0.10006639001873835
yy,-0.08755318251642662,0.10802129530666639
yy,-0.08211176074999206,0.10636320779915917
yy,-0.07692121495175952,0.10360560675209926
yy,-0.07196568645312007,0.09858241591739303
yy,-0.06723003463355003,0.09354710171100454
yy,-0.06269979066149038,0.10280260477652985
yy,-0.058361113287742565,0.08437270349061182
yy,-0.05420074655631531,0.08688975512359007
